count_id,line,species_id,site_code,liana,count
140,6,4937,NDAKANNI,,1.0
141,6,4999,NDAKANNI,l,1.0
142,3,5012,NDAKANNI,,1.0
143,10,5051,NDAKANNI,,1.0
144,10,5056,NDAKANNI,,1.0
145,10,5057,NDAKANNI,l,1.0
146,7,5154,NDAKANNI,,1.0
147,7,5155,NDAKANNI,,1.0
148,1,5544,NDAKANNI,,1.0
149,5,5544,NDAKANNI,,1.0
150,5,5546,NDAKANNI,l,1.0
151,7,5764,NDAKANNI,l,6.0
152,1,5764,NDAKANNI,l,7.0
153,2,5764,NDAKANNI,l,2.0
154,3,5764,NDAKANNI,l,1.0
155,4,5764,NDAKANNI,l,1.0
156,5,5764,NDAKANNI,l,1.0
157,5,6040,NDAKANNI,,1.0
158,6,6040,NDAKANNI,,1.0
159,7,6040,NDAKANNI,,1.0
160,9,6040,NDAKANNI,,1.0
161,3,6077,NDAKANNI,,1.0
162,5,6100,NDAKANNI,,1.0
163,5,6100,NDAKANNI,,1.0
164,10,6129,NDAKANNI,,2.0
165,10,6135,NDAKANNI,,1.0
166,4,6173,NDAKANNI,,1.0
167,10,6175,NDAKANNI,,1.0
168,6,6183,NDAKANNI,,1.0
169,1,6190,NDAKANNI,,1.0
170,6,6222,NDAKANNI,,1.0
171,3,6276,NDAKANNI,l,1.0
172,7,6276,NDAKANNI,l,1.0
173,8,6276,NDAKANNI,l,1.0
174,4,6277,NDAKANNI,l,1.0
175,6,6277,NDAKANNI,l,1.0
176,9,6278,NDAKANNI,l,2.0
177,8,6430,NDAKANNI,,1.0
178,5,6484,NDAKANNI,,1.0
179,7,6565,NDAKANNI,,1.0
180,5,7337,NDAKANNI,,1.0
181,9,7340,NDAKANNI,,1.0
182,2,7350,NDAKANNI,,1.0
183,6,7354,NDAKANNI,,1.0
184,7,7354,NDAKANNI,,1.0
185,4,7356,NDAKANNI,,1.0
186,5,7356,NDAKANNI,,1.0
187,6,7356,NDAKANNI,,1.0
188,8,7357,NDAKANNI,,1.0
189,8,7421,NDAKANNI,,1.0
190,5,7429,NDAKANNI,,2.0
191,7,7429,NDAKANNI,,2.0
192,8,7429,NDAKANNI,,2.0
193,9,7429,NDAKANNI,,1.0
194,10,7429,NDAKANNI,,1.0
195,10,7429,NDAKANNI,,1.0
196,10,7609,NDAKANNI,,1.0
197,1,7814,NDAKANNI,,1.0
198,1,7814,NDAKANNI,,1.0
199,6,7899,NDAKANNI,,1.0
200,2,7997,NDAKANNI,,1.0
201,9,8137,NDAKANNI,,1.0
202,10,8138,NDAKANNI,,1.0
203,5,8203,NDAKANNI,,1.0
204,6,8370,NDAKANNI,,1.0
205,5,8581,NDAKANNI,,1.0
206,8,8582,NDAKANNI,,1.0
207,10,8878,NDAKANNI,,1.0
208,8,8926,NDAKANNI,,1.0
209,7,9049,NDAKANNI,,1.0
210,7,9195,NDAKANNI,,1.0
211,2,9217,NDAKANNI,,1.0
212,7,9217,NDAKANNI,,1.0
213,1,9242,NDAKANNI,,1.0
214,10,9242,NDAKANNI,,1.0
215,5,9392,NDAKANNI,,1.0
216,2,9408,NDAKANNI,,1.0
217,6,9408,NDAKANNI,,1.0
218,7,9408,NDAKANNI,,1.0
219,7,9408,NDAKANNI,,2.0
220,8,9408,NDAKANNI,,1.0
221,3,9461,NDAKANNI,,1.0
222,1,9676,NDAKANNI,,8.0
223,2,9676,NDAKANNI,,8.0
224,3,9676,NDAKANNI,,1.0
225,3,9676,NDAKANNI,,3.0
226,4,9676,NDAKANNI,,3.0
227,5,9676,NDAKANNI,,3.0
228,6,9676,NDAKANNI,,1.0
229,7,9676,NDAKANNI,,2.0
230,9,9676,NDAKANNI,,1.0
231,2,9705,NDAKANNI,l,1.0
232,9,9705,NDAKANNI,l,1.0
233,2,123,BANYONG,,1.0
234,4,139,BANYONG,,2.0
235,8,139,BANYONG,,3.0
236,5,141,BANYONG,,2.0
237,6,141,BANYONG,,1.0
238,3,165,BANYONG,,1.0
239,10,165,BANYONG,,1.0
240,3,209,BANYONG,,3.0
241,7,209,BANYONG,,1.0
242,9,209,BANYONG,,1.0
243,4,270,BANYONG,,1.0
244,5,270,BANYONG,,1.0
245,7,270,BANYONG,,1.0
246,8,270,BANYONG,,1.0
247,7,319,BANYONG,l,1.0
248,1,374,BANYONG,,2.0
249,5,374,BANYONG,,2.0
250,6,374,BANYONG,,1.0
251,7,374,BANYONG,,2.0
252,2,442,BANYONG,,1.0
253,4,442,BANYONG,,1.0
254,6,442,BANYONG,,1.0
255,3,443,BANYONG,,1.0
256,4,443,BANYONG,,1.0
257,2,454,BANYONG,,1.0
258,8,460,BANYONG,,1.0
259,8,565,BANYONG,,1.0
260,1,585,BANYONG,l,2.0
261,2,586,BANYONG,l,2.0
262,3,586,BANYONG,l,1.0
263,6,586,BANYONG,l,2.0
264,7,586,BANYONG,l,1.0
265,3,587,BANYONG,l,1.0
266,6,587,BANYONG,l,2.0
267,3,588,BANYONG,l,1.0
268,7,589,BANYONG,l,1.0
269,7,590,BANYONG,l,1.0
270,1,598,BANYONG,l,1.0
271,4,599,BANYONG,l,3.0
272,7,599,BANYONG,l,1.0
273,5,600,BANYONG,l,1.0
274,4,601,BANYONG,l,1.0
275,7,601,BANYONG,l,1.0
276,9,602,BANYONG,l,1.0
277,9,603,BANYONG,l,2.0
278,10,604,BANYONG,l,1.0
279,1,690,BANYONG,,1.0
280,3,690,BANYONG,,1.0
281,6,691,BANYONG,,
282,1,698,BANYONG,,1.0
283,2,698,BANYONG,,2.0
284,3,698,BANYONG,,1.0
285,5,974,BANYONG,l,1.0
286,10,1833,BANYONG,,2.0
287,4,1839,BANYONG,,1.0
288,8,1839,BANYONG,,2.0
289,6,1960,BANYONG,,2.0
290,1,2199,BANYONG,,1.0
291,2,2249,BANYONG,l,2.0
292,3,2249,BANYONG,l,2.0
293,3,2250,BANYONG,l,1.0
294,4,2251,BANYONG,l,1.0
295,4,2252,BANYONG,l,1.0
296,7,2253,BANYONG,l,1.0
297,8,2254,BANYONG,l,1.0
298,9,2304,BANYONG,l,1.0
299,5,2459,BANYONG,,1.0
300,5,2462,BANYONG,,1.0
301,2,2573,BANYONG,,1.0
302,6,2580,BANYONG,,1.0
303,2,2587,BANYONG,,1.0
304,5,2587,BANYONG,,1.0
305,7,2587,BANYONG,,2.0
306,5,2611,BANYONG,,1.0
307,8,2611,BANYONG,,1.0
308,6,2638,BANYONG,,1.0
309,9,2638,BANYONG,,1.0
310,7,2710,BANYONG,,1.0
311,2,2764,BANYONG,l,1.0
312,7,2765,BANYONG,l,1.0
313,8,2766,BANYONG,l,1.0
314,1,3021,BANYONG,l,2.0
315,1,3022,BANYONG,l,1.0
316,3,3023,BANYONG,l,1.0
317,5,3024,BANYONG,l,2.0
318,3,3028,BANYONG,l,3.0
319,9,3044,BANYONG,,1.0
320,3,3049,BANYONG,,1.0
321,4,3049,BANYONG,,1.0
322,5,3049,BANYONG,,2.0
323,6,3049,BANYONG,,1.0
324,9,3160,BANYONG,,1.0
325,10,3160,BANYONG,,1.0
326,3,3172,BANYONG,,1.0
327,1,3185,BANYONG,,1.0
328,1,3189,BANYONG,,1.0
329,1,3212,BANYONG,,2.0
330,4,3423,BANYONG,,1.0
331,5,3423,BANYONG,,1.0
332,1,3555,BANYONG,,1.0
333,2,3555,BANYONG,,1.0
334,3,3555,BANYONG,,1.0
335,9,3555,BANYONG,,2.0
336,4,3574,BANYONG,,1.0
337,1,3583,BANYONG,,1.0
338,2,3583,BANYONG,,3.0
339,3,3583,BANYONG,,2.0
340,1,3584,BANYONG,,1.0
341,2,3584,BANYONG,,2.0
342,4,3584,BANYONG,,2.0
343,5,3585,BANYONG,,1.0
344,9,3586,BANYONG,,1.0
345,10,3589,BANYONG,,1.0
346,4,3593,BANYONG,,1.0
347,5,3593,BANYONG,,2.0
348,8,3569,BANYONG,,1.0
349,2,3656,BANYONG,,1.0
350,3,3656,BANYONG,,1.0
351,4,3689,BANYONG,,1.0
352,5,3689,BANYONG,,2.0
353,10,3690,BANYONG,,1.0
354,9,3758,BANYONG,,1.0
355,7,3818,BANYONG,,2.0
356,8,3819,BANYONG,,1.0
357,2,3869,BANYONG,l,2.0
358,3,3869,BANYONG,l,5.0
359,9,3869,BANYONG,l,2.0
360,1,3883,BANYONG,,1.0
361,1,3911,BANYONG,,2.0
362,3,3911,BANYONG,,1.0
363,4,3911,BANYONG,,1.0
364,5,3911,BANYONG,,3.0
365,6,3911,BANYONG,,4.0
366,7,3911,BANYONG,,1.0
367,8,3911,BANYONG,,2.0
368,10,3911,BANYONG,,3.0
369,5,3914,BANYONG,,1.0
370,6,3914,BANYONG,,1.0
371,6,3968,BANYONG,,1.0
372,6,3980,BANYONG,,2.0
373,3,4074,BANYONG,,1.0
374,1,4116,BANYONG,l,1.0
375,10,4151,BANYONG,,3.0
